Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
National Institute of Allergy and Infectious Disease (NIAID)'s Adaptive COVID-19 Treatment Trial; Nova Scotia Health Authority; Hospital of Prato; University of Colorado (Eli Lilly); TACTIC-R trial,Treatment,Other,Clinical,"Eli Lilly Phase III trial started June 2020; NIAID trial remdesivir + baricitinib recruiting May 2020, Received Emergency Use Authorization from the FDA in Nov 2020","Olumiant (baricitinib), Janus kinase (JAK) inhibitor","NCT04321993, NCT04320277, NCT04340232, NCT04280705, NCT04345289, NCT04346147, NCT04358614, NCT04373044, NCT04438629, NCT04421027, NCT04362943, NCT04393051, NCT04401579, NCT04390464, NCT04399798, NCT04365764, EudraCT 2020-001246-18, EudraCT 2020-001367-88, EudraCT 2020-001517-21, EudraCT 2020-001854-23, EudraCT 2020-001354-22 (TACTIC-R), EudraCT 2020-001321-31, EudraCT 2020-001052-18, ISRCTN11188345, https://clinicaltrials.gov/ct2/show/NCT04640168?term=Olumiant&cond=COVID&draw=2&rank=10",Unknown,"medRxiv (https://doi.org/10.1101/2020.06.26.20135319), J Infect (10.1016/j.jinf.2020.04.017)",,"FDA-approved since 2018, approved to treat rheumatoid arthritis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/1/2020
Numerous research sponsors globally,Treatment,Other,Clinical,Phase II recruiting July 2020; Individual patient expanded access ,"dipyridamole (Persantine), anticoagulant","NCT04424901, NCT04391179, NCT04410328",Unknown,"medRxiv (https://doi.org/10.1101/2020.02.27.20027557), Acta Pharm Sin B (https://doi.org/10.1016/j.apsb.2020.04.008)",,"FDA-approved since 1961, approved to prevent postoperative thromboembolic complications of cardiac valve replacement",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Applied Therapeutics/ numerous New York City hospitals,Treatment,Other,Clinical,Phase II recruiting July 2020; Individual patient expanded access,"AT-001, aldose reductase inhibitor",NCT04365699,Unknown,JACC (https://casereports.onlinejacc.org/content/2/9/1331),Diabetic cardiomyopathy,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/25/2020
Amarin Corp,Treatment,Other,Clinical,Unknown,"Vascepa (icosapent ethyl), a form of eicosapentaenoic acid","NCT04412018, NCT04460651",Estudios Clínicos Latino América,https://investor.amarincorp.com/news-releases/news-release-details/vascepar-icosapent-ethyl-related-scientific-findings-be,,"FDA approved since 2012, approved to reduce the risk of myocardial infarction, stroke, coronary revascularization, and unstable angina, and reduce triglyceride levels in patients with severe hypertriglyceridemia",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/9/2020
"Orpheris
  (Ashvattha Therapeutics)",Treatment,Other,Clinical,FDA agreed to Phase II June 2020; patient enrollment began Sept 2020,"OP-101, dendrimer-based therapy",NCT04458298,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
Resverlogix,Treatment,Other,Clinical,Unknown,"apabetalone (RVX-208), selective BET (bromodomain and extra-terminal) inhibitor",,Unknown,,Treat various conditions ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
King's College London,Treatment,Other,Clinical,Phase IV trial recruiting in July 2020,Flarin (lipid ibuprofen),NCT04334629,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/16/2020
"Various researchers globally, including University of Oxford",Treatment,Other,Clinical,"Observational trial completed April in France;, Phase III trial recruiting Sept 2020 in France",almitrine,"NCT04357457, NCT04380727",LifeArc (University of Oxford trial),,Various lung diseases including Acute Respiratory Distress Syndrome (ARDS),N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/6/2020
Vicore Pharma,Treatment,Other,Clinical,Phase II dosing began of ATTRACT study in India,"VP01, Angiotensin II Type 2 receptor activator ",,Life Arc ,https://vicorepharma.com/investors/press-releases/press/?releaseID=82FD41BA3EBA3689,Pulmonary fibrosis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/9/2020
"Various researchers worldwide, including Ashford and St Peters Hospital NHS Trust/  Guangdong Uni-Innovation Pharmaceuticals Co., Ltd./ Clear Creek Bio, LLC/BMS",Treatment,Other,Clinical,FDA IND application accepted for Phase Ia/II open label safety trials began in summer 2020; First patient dosed for Phase I trial Sept 2020 (Brequinar); Phase II recruitment began Nov 2020 (CRISIS 2),"leflunomide, pyrimidine synthesis inhibitor; Dihydroorotate dehydrogenase inhibitor (DHODH- Brequinar)","NCT04361214, NCT04575038","Life Arc (Ashford and St Peters Hospital NHS Trust/ Guangdong Uni-Innovation Pharmaceuticals Co., Ltd. trial)",medRxiv (https://doi.org/10.1101/2020.05.29.20114223) ,,"FDA-approved since 1998, approved to treat rheumatoid arthritis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
"Various researchers worldwide, including University College London/ The Francis Crick  Institute (COVASE study)/ I-SPY COVID trial",Treatment,Other,Clinical,Phase III trials recruiting June 2020,"Pulmozyme (nebulised dornase alfa), a recombinant DNase enzyme","NCT04409925, NCT04359654, NCT04387786, NCT04355364, NCT04402944, NCT04402970",Life Arc (COVASE study),,,"FDA-approved since 1993, approved to treat cystic fibrosis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/14/2020
"Sun
  Pharmaceutical Industries Ltd",Treatment,Other,Clinical,"Phase II trial started June 2020, results expected by October","AQCH, plant-derived (phytopharmaeutical) drug",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/7/2020
Genentech,Treatment,Other,Clinical,Unknown,"MSTT1041A (anti-ST2, the receptor for IL-33)",NCT04386616,Biomedical Advanced Research and Development Authority (BARDA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/29/2020
Genentech,Treatment,Other,Clinical,Unknown,UTTR1147A (IL-22-Fc),NCT04386616,Biomedical Advanced Research and Development Authority (BARDA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/29/2020
"Genetic Engineering and Biotechnology Center (CIGB), Cuba",Treatment,Other,Clinical,Unknown,"CIGB-258, immunoregulatory peptide",https://rpcec.sld.cu/ensayos/RPCEC00000313-Sp,Ministry of Public Health of Cuba,medRxiv (https://doi.org/10.1101/2020.05.27.20110601),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
FSD Pharma,Treatment,Other,Clinical,Phase I topline results released June 2020; IND submitted to FDA Aug 2020,FSD-201 (ultramicronized palmitoylethanolamide),,,(https://www.businesswire.com/news/home/20200621005031/en/FSD-Pharma-Reports-Favorable-Topline-Results-Phase),Respiratory infections,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/6/2020
PhaseBio,Treatment,Other,Clinical,Phase II trial started July 2020 and results in Q4 2020,"PB1046, long-acting, sustained release human vasoactive intestinal peptide (VIP) analogue",NCT04433546,,,Pulmonary arterial hypertension,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/6/2020
PTC Therapeutics,Treatment,Other,Clinical,Phase II/III trial initiated in Australia November 2020,"PTC299, oral small molecule inhibitor of dihydroorotate dehydrogenase (DHODH)",NCT04439071,,"bioRxiv (https://www.biorxiv.org/content/10.1101/2020.08.05.238394v1), Science Direct (https://www.sciencedirect.com/science/article/pii/S0168170220311539)",Various oncology indications,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/3/2020
Dompe farmaceutici (as part of Exscalate4CoV),Treatment,Other,Clinical,Safety/efficacy trials began in Italy Oct 2020 ,"raloxifene (Evista), an estrogen agonist/antagonist",,,,,"FDA approved since 1997, approved to treat osteoporosis and reduce risk of breat cancer in postmenopausal women with osteoporosis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
"Fulcrum
  Therapeutics",Treatment,Other,Clinical,Phase III trial to begin June 2020; Enrollment began for Phase III trials,"losmapimod, oral selective p38 mitogen activated protein kinase inhibitor",,,,"Multiple indications, including facioscapulohumeral muscular dystrophy ",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/17/2020
"Applied
  Biology/ Brown University/ Corpometria Institute",Treatment,Other,Clinical,Unknown,"dutasteride, anti-androgen",NCT04446429,,,,"FDA approved since 2001, approved to treat benign prostatic hyperplasia",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/26/2020
Merck KGaA,Treatment,Other,Pre-clinical,FDA cleared Phase 2 trial to begin in June 2020; Phase 2 recruitment began Aug 2020,"M5049, small molecule that block the activation of Toll-like receptor (TLR)7 and TLR8",NCT04448756,Unknown,,Various immuology indications,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
Eisai ,Treatment,Other,Clinical,Added to REMAP-COVID trial in June 2020; First patient enrolled in Aug 2020,"Eritoran, TLR-4 antagonist",,,,Sepsis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
Zydus Cadila/ Avant Sante Research Center,Treatment,Other,Clinical,Phase IIb trials approved to start in Mexico July 2020,"desidustat, a hypoxia inducible factor prolyl hydroxylase inhibitor",,Unknown,,Chronic Kidney Disease,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/6/2020
ViralClear Pharmaceuticals,Treatment,Other,Clinical,Phase II trial recruiting July 2020,"merimepodib, IMPDH inhibitor",NCT04410354 (terminated),Unknown,,Chronic Hepatitis C; Psoriasis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/9/2020
RECOVERY trial and multiple global research sponsors,Treatment,Other,Clinical,Unknown,"azithromycin, antibiotic","Over 100 clinical trials registered at clinicaltrials.gov; EudraCT 2020-001303-16, EudraCT 2020-001246-18, EudraCT 2015-002340-14 (REMAP-CAP), EudraCT 2020-001449-38, NCT04446429, EudraCT 2020-001723-13, EudraCT 2020-001113-21 (RECOVERY Trial), NCT04381936 (RECOVERY), NCT04411433, EudraCT 2020-001605-23, EudraCT 2020-001971-33, NCT04461925, NCT04321278, NCT04370782",Unknown,"Lancet (https://doi.org/10.1016/S0140-6736(20)31862-6), NEJM (https://www.nejm.org/doi/full/10.1056/nejmoa2019014), https://onlinelibrary.wiley.com/doi/10.1111/ijcp.13856",,FDA approved since at least 2005; approved to treat or prevent bacterial infections,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/9/2020
I-SPY COVID Trial (Allergan); National Center for Advancing Translational Science (NCATS) Biomedical Advanced Research and Development Authority (BARDA),Treatment,Other,Clinical,Clinical trials to start in Aug 2020; ACTIV-1 1M Phase III trials began Oct 2020,"Cenicriviroc, chemokine receptor 2 and 5 dual antagonist",NCT04593940,Unknown,,Non-Alcoholic SteatoHepatitis (NASH),N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/27/2020
 I-SPY COVID Trial (Takeda),Treatment,Other,Clinical,Unknown,"Firazyr (icatibant), bradykinin B2 antagonist",,Unknown,,,"FDA approved since 2011, approved to treat hereditary angioedema ",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/6/2020
"I-SPY COVID Trial (Aerpio Pharmaceuticals), - RESCUE Trial various academic researchers/Medical Technology Enterprise Consortium (MTEC)",Treatment,Other,Clinical,Second trial to start in August 2020; Dosing began Phase II platform/I-SPY trial Sept 2020; Phase II/RESCUE Trial Sept 2020,"Razuprotafib, Tie 2 activating compound (AKB-9778)",NCT04511650,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/17/2020
"Lupa Bio, Inc.",Treatment,Other,Pre-clinical,Plans to sumit an IND in 2020,New drug based on a sugar found in human milk,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/14/2020
Heron Therapeutics,Treatment,Other,Clinical,Phase II trial recruiting July 2020,"Cinvanti (aprepitant), a substance P/neurokinin-1 receptor antagonist",NCT04470622,,,,"FDA approved since 2017, approved to prevent chemotherapy-induced nausea and vomiting in cancer patients",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/21/2020
Nocion Therapeutics,Treatment,Other,Pre-clinical,Phase I trial to start July 2020; First patient dosed Sept 2020,"Nocions, molecules that either selectively block Nav 1.7 or antagonize large-pore channels",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
Hebrew University of Jerusalem/ University of Pennsylvania/ University Arizona ,Treatment,Other,Pre-clinical,Invite only intervention trial Sept 2020 ,"Tricor (fenofibrate), peroxisome proliferator-activated receptor (PPAR) alpha agonist ",NCT04517396,Unknown,,,"FDA approved since 2004, approved to treat primary hypercholesterolemia or mixed dyslipidemia, and to treat severe hypertriglyceridemia",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/22/2020
Merck/ IRBM,Treatment,Other,Pre-clinical,Unknown,Peptides  ,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/23/2020
Organicell Regenerative Medicine,Treatment,Other,Clinical,Phase I/II trial cleared by FDA in May 2020; Individual expanded access results released May 2020,"Organicell Flow, acellular product derived from amniotic fluid ","NCT04384445, NCT04657406",Unknown,Organicell (https://organicell.com/organicell-reports-positive-results-from-compassionate-use-of-organicell-flow-in-severely-ill-covid-19-patients/),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/10/2020
Global research sponsors,Treatment,Other,Clinical,Unknown,"TD139, specific inhibitor of galectin-3, inhalation powder","EudraCT 2020-001736-95 (ACCORD Trial), NCT04473053, ISRCTN14212905","Life
  Arc (University of Edinburgh)",,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/27/2020
Various global research sponsors,Treatment,Other,Clinical,Unknown,"Aldactone (spironolactone), aldosterone antagonist","EudraCT 2020-001766-11, NCT04424134, NCT04345887, NCT04643691",Unknown,,,"FDA approved since 1960, approved to treat heart failure, hypertension, edema, and hyperaldosternism",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/2/2020
REMAP-CAP trial,Treatment,Other,Clinical,Unknown,"Levaquin (levofloxacin), a fluoroquinolone antibacterial","EudraCT 2015-002340-14 (REMAP-CAP), NCT02735707 (REMAP-CAP)",Unknown,,,"FDA approved since 1996, approved to treat bacterial infections",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/27/2020
REMAP-CAP trial,Treatment,Other,Clinical,Unknown,"ceftriaxone, broad-spectrum cephalosporin antibiotic","EudraCT 2015-002340-14 (REMAP-CAP), NCT02735707 (REMAP-CAP)",Unknown,,,"FDA approved since 1984, approved to treat or prevent bacterial infections",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/27/2020
"ACCORD trial; University Hospital, Ghent/UCB Pharma ",Treatment,Other,Clinical,Phase II trial began recruitment July 2020 Patient enrollment began Dec 2020.,"Zilucoplan, a synthetic macrocyclic peptide inhibitor of the terminal complement protein C5","EudraCT 2020-001736-95 (ACCORD Trial), NCT04382755",Unknown,,"Myasthenia gravis; immune-mediated necrotizing myopathy, ALS",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/2/2020
"Center for Clinical Metabolic Research, Gentofte Hospital",Treatment,Other,Clinical,Unknown,"Entresto (sacubitril, a neprilysin inhibitor, and valsartan, an angiotensin II receptor blocker)",EudraCT 2020-001544-26,Unknown,,,"FDA approved since 2015, approved to reduce the risk of cardiovascular death and hospitalization for heart failure and treat heart failure ",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
Inotrem,Treatment,Other,Clinical,"Phase II trial cleared by FDA, French and Belgian authorities July 2020; First patient dosed Oct 2020 (COVITREM- 1)",Nangibotide,NCT04429334,Unknown,,Septic shock,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
NeoImmune Tech/ NIAID / University of Nebraska Medical Center,Treatment,Other,Clinical,Phase I trial cleared by FDA July 2020; Second study for NT-I7 approved by FDA. Patient dosing began 2020.,"NT-I7 (efineptakin alfa), long-acting human IL-7",,Unknown,,Treat solid tumors,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/2/2020
Kintor/ Applied Biology,Treatment,Other,Clinical," 1st patient enrolled in Brazil Aug 2020; Expanding patient enrollment Oct 2020, Female patient trial enrollment Dec 2020.","proxalutamide (GT0918), anti-androgen",NCT04446429,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/2/2020
AI Therapeutics/ Yale University  ,Treatment,Other,Clinical,Phase II trial started July 2020  ,"LAM-002A (apilimod dimesylate), PIKfyve kinase inhibitor",NCT04446377,Unknown,,Lymphangioleiomyomatosis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/29/2020
National Institute of Allergy and Infectious Disease (NIAID),Treatment,Other,Pre-clinical,Phase III trial started August 2020,"Adaptive COVID-19 Treatment Trial 3 (ACTT-3), Remdesivir + interferon beta-1a","NCT04492475, NCT04315948, NCT04647669",National Institute of Allergy and Infectious Diseases (NIAID),"medRxiv (https://www.medrxiv.org/content/10.1101/2020.10.15.20209817v1), https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30511-7/fulltext",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/2/2020
NIH ACTIV-4 Antithrombotics/ nonprofit organizations/numerous biopharmaceutical companies,Treatment,Other,Clinical,Phase III trials for ACTIV-4 Antithrombotics launched Sept 2020; Recruitment began for Phase III trial Nov 2020,"Apixaban (Eliquis) blood thinner, direct oral anticoagulant","NCT04498273, NCT04650087","National Institute of Heart, Lung, and Blood Institute (NHLBI)/U.S. Operation Warp Speed",,,FDA approved since 2019 to treat nonvalvular atrial fibrillation; deep vein thrombosis (DVT) and pulmonary embolism (PE),https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/2/2020
"Senhwa Biosciences, Inc",Treatment,Other,Pre-clinical,"FDA IIT approved was granted Aug 2020 for use in COVID patients, First patient dosed in Dec 2020.","Silmitasertib, small molecule drug, targets CK2 & CK2-inhibitor",,Unknown,,,Granted Rare Pediatric Disease Designation (RPD) in Medulloblastoma by FDA. ,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/4/2020
ACTIV-5/BET-B  for COVID-19/National Institute of Allergy and Infectious Disease (NIAID)/Boehringer Ingelheim/AbbVie,Treatment,Other,Pre-clinical,Phase 2 ACTIV-5 Big Effect Trial (BET-B) began Oct 2020 ,risankizumab monoclonal antibody & remdesivir + lenzilumab ,NCT04583969,National Institute of Allergy and Infectious Disease (NIAID)/NIH,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/14/2020
Baxter,Treatment,Device,Clinical,"FDA issued an Emergency Use Authorization on April 23, 2020",Oxiris Blood Purification Filter,NCT04478539,Unknown,BMC/Springer (doi.org/10.1186/s13054-020-03322-6),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/6/2020
Bellerophon; Ohio State University Wexner Medical Center ,Treatment,Device,Clinical,Phase III trial began July 2020; Expanded access trial ended July 2020; Phase III (COViNOX Study) Trials began Summer/Fall 2020,INOpulse,"NCT04398290, NCT04358588 (Expanded access), NCT04421508",Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/7/2020
ExThera Medical,Treatment,Device,Clinical,"DOD to fund a multi-center trial June 2020; FDA issued an Emergency Use Authorization on April 17, 2020","Seraph100MicrobindAffinity Blood Filter (Seraphy 100), approved in the EU for pathogen reduction",,US Department of Defense (DOD),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
CytoSorbents Corporation,Treatment,Device,Clinical,Intervention trial started May 2020; Recruitment began Oct 2020,"CytoSorb (blood purification device, extracorporeal cytokine adsorber))","NCT04324528, ChiCTR2000030475, NCT04344080, DRKS00021447, NCT04385771, NCT04344080, NCT04324528",Unknown,"medRxiv (https://doi.org/10.1101/2020.06.28.20133561), https://onlinelibrary.wiley.com/doi/10.1111/aor.13864, https://cytosorbents.com/cytosorbents-highlights-largest-published-case-series-to-date-using-cytosorb-in-critically-ill-covid-19-patients/",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/30/2020
ALung Technologies,Treatment,Device,Clinical,pneum,Hemolung Respiratory Assist System,,Unknown,,Acute Exacerbation of Chronic Obstructive Pulmonary Disease; Acute Respiratory Distress Syndrome (ARDS),N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Terumo BCT Inc / Marker Therapeutics AG,Treatment,Device,Clinical,"FDA issued an Emergency Use Authorization on April 9, 2020",Extracorporeal blood purification (EBP) devices,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
Fresenius Medical,Treatment,Device,Clinical,"FDA issued an Emergency Use Authorization on April 30, 2020","MultiFiltrate PRO System and multiBic/multiPlus Solutions, continuous renal replacement therapy (CRRT)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/8/2020
Abiomed,Treatment,Device,Clinical,"FDA issued an Emergency Use Authorization for Impella heart pumps in COVID-19 therapy on May 29, 2020",Impella RP heart pump,,Unknown,,,"FDA-approved since 2017, approved to treat advanced heart failure",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/27/2020
electroCore,Treatment,Device,Clinical,"FDA granted Emergency Use Authorization July 10, 2020","gammaCore Sapphire CV, vagus nerve stimulation device",,Unknown,,Asthma,"FDA cleared since 2018, cleared to treat migraines and cluster headaches",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/21/2020
Beyond Air Ltd,Treatment,Device,Clinical,Phase II trial enrolling July 2020,LungFit (with ultra-high concentrations of nitric oxide),"NCT04397692, NCT04456088, NCT04606407",Unknown,,Bronchiolitis and nontuberculous mycobacteria,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/17/2020
Scancell/ University of Nottingham/ Nottingham Trent University,Vaccine,DNA-based,Pre-clinical,Phase I to start in Q1 2021,DNA; plasmid vaccine RBD&N,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Entos Pharmaceuticals/ Cytiva,Vaccine,DNA-based,Pre-clinical,Phase I/II expected to begin November 2020,DNA; (Covigenix),NCT04591184,Canadian Institutes of Health Research (CIHR)/ Research Nova Scotia (RNS)/ Institute for Ageing (IA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
BioNet Asia/ Technovalia/ Vax4COVID/ The University of Sydney/ The University of Western Australia/ Telethon Kids Institute/ PharmaJet,Vaccine,DNA-based,Pre-clinical,Phase I expected to begin Q4 2020,DNA; (COVIGEN) needle-free delivery,,Australian Government Medical Research Future Fund (MRFF),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Inovio Pharmaceuticals/ Beijing Advaccine Biotechnology/ VGXI Inc./ Richter-Helm BioLogics/ Ology Bioservices/ International Vaccine Institute/ Seoul National University Hospital/ Thermo Fisher Scientific,Vaccine,DNA-based,Phase I/II,"FDA partial clinical hold for planned Phase II/ III trial reported on 9/28/2020; Phase I/IIa trial began July 2020; Animal study results released July 2020; Joined US Operation Warp Speed in June 2020; Phase I began April 2020, interim data of ongoing study released June 2020",DNA; (INO-4800) plasmid vaccine with electroporation ,"NCT04336410, NCT04447781",Coalition for Epidemic Preparedness (CEPI) / Gates Foundation / US Department of Defense,Inovio (http://ir.inovio.com/news-releases/news-releases-details/2020/INOVIO-Announces-Positive-Interim-Phase-1-Data-For-INO-4800-Vaccine-for-COVID-19/default.aspx),Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
