Athlete,Sport,Substance/Reason,Sanction Terms,Sanction Announced
"Brown, Matthew",Paralympic Track and Field,Hydrochlorothiazide & Chlorothiazide,1-Year Suspension - Loss of Results; Second Violation,08/03/2012
"Anthony, David",Cycling,Erythropoietin (EPO),2-Year Suspension - Loss of Results,07/25/2012
"Fletcher, Mark",Judo,Cannabinoids,3-Month Suspension - Loss of Results,07/18/2012
"Gilbert, Joshua",Weightlifting,Furosemide and Non-Analytical: Refusal to Submit to Sample Collection,3-Year Suspension - Loss of Results,07/17/2012
"Ferrari, Michele",Cycling - Athlete Support Personnel,Non-Analytical,Lifetime Suspension,07/10/2012
"Solo, Hope",Soccer,Canrenone,Public Warning,07/09/2012
"Lee, Stephany",Wrestling,Cannabinoids,1-Year Suspension - Loss of Results; Second Violation,06/28/2012
"Madsen, Angela","Paralympic Track and Field, Paralympic Rowing",Fentanyl,Public Warning - Loss of Results,06/22/2012
"Stacy, Shelby",Cycling,Methylhexaneamine,6-Month Suspension - Loss of Results,06/16/2012
"Shields, Jerry",Paralympic Archery,"Hydrochlorothiazide, Chlorothiazide, Triamterene and Labetalol",Public Warning - Loss of Results,04/27/2012
"Lock, Jane",Judo,Non-Analytical: 3 Whereabouts Failures,2-Year Suspension - Loss of Results,04/20/2012
"Mendes, Patrick",Weightlifting,Human Growth Hormone (hGH),2-Year Suspension - Loss of Results,04/16/2012
"Kochem, Matt",Rowing,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,04/13/2012
"Robertson, Todd",Cycling,Erythropoietin (EPO),2-Year Suspension with 9 Month Reduction - Loss of Results,03/30/2012
"Rodgers, Michael",Track and Field,Methylhexaneamine,9-Month Suspension - Loss of Results,03/01/2012
"Thompson, Lenroy",Boxing,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,02/26/2012
"Arias, Luis",Boxing,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,02/24/2012
"Brandt-Sorenson, Nick",Cycling,Efaproxiral,2-Year Suspension - Loss of Results,01/13/2012
"Bates, Jessie",Taekwondo,Methylhexaneamine,1-Year Suspension with 2-Month Reduction - Loss of Results,12/05/2011
"Allen, Damon",Boxing,Furosemide,6-Month Suspension - Loss of Results,11/29/2011
"Spuehler, Pamela",Field Hockey,Canrenone,2-Month Suspension - Loss of Results,11/23/2011
"Diamond, Michael",Cycling,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,11/18/2011
"Tadd, Nathaniel",Taekwondo,Methylhexaneamine,2-Year Suspension - Loss of Results; Sanction was tolled due to whereabouts compliance failure,11/17/2011
"Kieser, Frederic",Track and Field,Methylhexaneamine,8-Month Suspension - Loss of Results,10/27/2011
"Miller, Michael",Cycling,Methylhexaneamine,8 Month Suspension - Loss of Results,10/26/2011
"Duhon, Byron",Track and Field,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,10/25/2011
"Papp, Joseph",Cycling,Non-Analytical: Distributing,Lifetime Suspension with Reduction to 8-Year Suspension - Loss of Results; Second Violation,10/21/2011
"Jager, Kathleen",Track and Field,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,10/18/2011
"Hunter, Michael",Boxing,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,10/11/2011
"Lorenz, John",Wrestling,Clomiphene,2-Year Suspension - Loss of Results,10/10/2011
"DiBuono, Matthew",Track and Field,Androgenic Anabolic Steroid,4-Year Suspension - Loss of Results,10/07/2011
"Hernandez, Roger",Cycling,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,10/06/2011
"Shumaker, Stephen",Track and Field,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,09/30/2011
"Clinger, David",Cycling,Clenbuterol,Lifetime Suspension - Loss of Results; Second Violation,08/12/2011
"Dodson, Amy","Paralympic Track and Field, Paralympic Triathlon",Oxilofrine,6-Month Suspension - Loss of Results,07/22/2011
"Brown, Matthew",Paralympic Track and Field,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,07/18/2011
"Webster, Joshua",Cycling,Methylhexaneamine & Phenpromethamine,2-Year Suspension - Loss of Results,07/15/2011
"Reis, Fernando",Weightlifting,Methylhexaneamine,6-Month Suspension - Loss of Results,07/14/2011
"Quintero, Lisban",Cycling,19-norandrosterone (19-NA) and 19-noretiocholanolone,2-Year Suspension - Loss of Results,07/01/2011
"Jones, Harrison",Diving,Cannabinoids,1-Year Suspension - Loss of Results,06/17/2011
"Zajicek, Philip",Cycling,Non-Analytical: Purchase (EPO),Lifetime Suspension - Loss of Results; Second Violation,06/10/2011
"Nguyen, Jonathan",Taekwondo,Methylhexaneamine,6-Month Suspension - Loss of Results,05/27/2011
"Freeman, Thomas",Track and Field,Cannabinoids,1-Year Suspension - Loss of Results; Second Violation,05/26/2011
"Cannell, Peter",Cycling,Drostanolone,2-Year Suspension - Loss of Results,04/08/2011
"Blanco, Alberto",Cycling,Testosterone Metabolites (Exogenous Origin),2-Year Suspension - Loss of Results,04/04/2011
"Tilin, Andrew",Cycling,Non-Analytical: Use (Testosterone & DHEA),2-Year Suspension - Loss of Results,04/01/2011
"Block, Mark",Track and Field - Athlete Support Personnel,Non-Anatlyical: Administration and Trafficking,10 Year Suspension,03/17/2011
"Bathum, Mark",Paralympic Alpine Skiing,Acetazolamide,Public Warning - Loss of Results,12/28/2010
"Oliveira, Flavia",Cycling,Oxilofrine,18-Month Suspension - Loss of Results,Original: 04/13/2010; Updated 12/10/2010
"Coyle, Chuck",Cycling,"Non-Analytical: Possession, Use and Possession (EPO, IGF-1)",2-Year Suspension - Loss of Results,11/24/2010
"Schubel, Neal",Cycling,"Non-Analytical: Purchase, Possession and Use (EPO)",2-Year Suspension - Loss of Results,11/24/2010
"Tsourtsoulas, Evangelos",Rowing,Formoterol and Budesonide,Public Warning - Loss of Results,10/29/2010
"Clay, Ramon",Track and Field,Non-Analytical: Use and Possession,2-Year Suspension - Loss of Results,10/22/2010
"Merritt, LaShawn",Track and Field,Androgenic Anabolic Steroid,21-Month Suspension - Loss of Results,10/18/2010
"O'Bee, Kirk",Cycling,Erythropoietin (EPO),Lifetime - Loss of Results; Second Violation,10/06/2010
"Mahoney, Sean",Swimming,Methylhexaneamine,6-Month Suspension - Loss of Results,10/01/2010
"Chodroff, Jonathan",Cycling,Non-Analytical: Use and Possession (EPO),2-Year Suspension - Loss of Results,09/17/2010
"Goff, Tyler",Speedskating,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,09/13/2010
"Dickey, Duane",Cycling,"Non-Analytical: Refusal to Submit to Sample Collection, Possession and Use (EPO)",Lifetime Suspension - Loss of Results,09/10/2010
"Crater, Andrew",Cycling,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,09/09/2010
"Lukezic, Chris",Track and Field,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,09/02/2010
"Jelks, Mark",Track and Field,Non-Analytical: 3 Whereabouts Failures,2-Year Suspension - Loss of Results,08/30/2010
"Barnette, Brandon",Roller Sports,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,08/25/2010
"Berry, Michael",Track and Field,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,08/19/2010
"Wilmoth, Joel",Paralympic Rugby,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,08/09/2010
"Monsees, Zachary",Water Polo,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,08/02/2010
"Devine, Matthew",Weightlifting,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,07/16/2010
"Stewart, Raymond",Track and Field - Athlete Support Personnel,Non-Analytical: Trafficking and Administering,Lifetime Suspension,06/28/2010
"Cochran, Jerren",Boxing,Furosemide,2-Year Suspension - Loss of Results,06/11/2010
"Gomez, Jesus",Boxing,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,06/10/2010
"Gipson, Teddy",Basketball,Non-Analytical: Tampering,6-Month Suspension,06/08/2010
"Greene, Orien",Basketball,Non-Analytical: Tampering,2-Year Suspension with 112 Day Increase for Playing During Suspension,06/08/2010
"Cosby-Toruga, Jessica",Track and Field,Hydrochlorothiazide & Chlorothiazide,4 Month Suspension - Loss of Results,05/10/2010
"Morrow, Emilia",Taekwondo,Hydrochlorothiazide & Chlorothiazide,6-Month Suspension - Loss of Results,05/06/2010
"Jones, Randy",Bobsled and Skeleton,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,04/26/2010
"Jones, Harrison",Diving,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,04/13/2010
"Zirbel, Tom",Cycling,Androgenic Anabolic Steroid,2-Year Sanction with 30% Reduction - Loss of Results,04/02/2010
"Clinger, David",Cycling,Androgenic Anabolic Steroid and Modafinil,2-Year Suspension - Loss of Results,03/19/2010
"Williams, Ivory",Track and Field,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,03/10/2010
"Barnwell, Val",Track and Field,Testosterone Prohormones,2-Year Suspension - Loss of Results,03/03/2010
"Ross, Duane",Track and Field,Non-Analytical Positive,2-Year Suspension - Loss of Results,02/05/2010
"Cox, Crystal",Track and Field,Non-Analytical: Use,4-Year Suspension - Loss of Results; Second Violation,01/29/2010
"Ellenwood, Garfield",Track and Field,Non-Analytical,2-Year Suspension - Loss of Results,01/28/2010
"DeRosier, Philippe",Track and Field,Methylhexanamine,6-Month Suspension - Loss of Results,01/26/2010
"Mock, David",Cycling,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,12/17/2009
"O'Neil, Joshua",Judo,Methylphenidate metabolite Ritalinic Acid,2-Year Suspension - Loss of Results,12/17/2009
"Williams, Kenneth",Cycling,Androgenic Anabolic Steroid,"2-Year Suspension - Loss of Results 
Suspension Extended 103 Days",12/03/2009
*Name Removed,Cycling,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
"Comardo, Mitch",Cycling,"Tamoxifen and its metabolite, Anastrozole, Letrozole, Human Chorionic Gonadotrophin (HCG), and Clomiphene",2-Year Suspension - Loss of Results,10/06/2009
"Manning, Joy",Team Handball,Cannabinoids,2-Year Suspension - Loss of Results,09/07/2009
*Name Removed,Cycling,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
"Hamilton, Tyler",Cycling,Androgenic Anabolic Steroid,8-Year Suspension - Loss of Results; Second Violation,06/16/2009
*Name Removed,Paralympic Alpine Skiing,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
"Lee, Stephany",Wrestling,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,05/13/2009
*Name Removed,Skiing and Snowboarding,Cannabinoids,3-Month Suspension - Loss of Results,
*Name Removed,Swimming,Clenbuterol,1-Year Suspension - Loss of Results,
*Name Removed,Paralympic Sled Hockey,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
"Lange, Michael",Cycling,Strychnine,2-Year Suspension - Loss of Results,04/17/2009
"Freeman, Thomas",Track and Field,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,04/16/2009
"Burns, Samuel",Rowing,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,04/10/2009
"Vaden, Jordan",Track and Field,Stanozolol Metabolites,2-Year Suspension - Loss of Results,02/06/2009
"Sagmeister, LeAnn",Paralympic Track and Field,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,01/29/2009
*Name Removed,Swimming,Hydrochlorothiazide and Triamterene,6-Month Suspension,
"Pope, Mitchell",Track and Field,Boldenone Metabolite,2-Year Suspension - Loss of Results,01/23/2009
"LeoGrande, Kayle",Cycling,Non-Analytical: Use (EPO),2-Year Suspension - Loss of Results,12/01/2008
"Hristov, Nikolay",Weightlifting,Non-Analytical: Missed Tests,2-Year Suspension - Loss of Results,11/20/2008
*Name Removed,Shooting,Hydrochlorothiazide and Chlorothiazide,6-Month Suspension - Loss of Results,
"Hernandez, Ricardo",Cycling,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,10/08/2008
"Kapes, Michael",Cycling,19-norandrosterone (19-NA) and Boldenone,2-Year Suspension - Loss of Results,08/28/2008
"Graham, Trevor",Track and Field - Athlete Support Personnel,Non-Analytical,Lifetime Suspension,07/15/2008
"Doherty, Paul",Weightlifting,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,06/17/2008
"Young, Jerome",Track and Field,Erythropoietin (EPO) and Non-Analytical: Use (EPO & hGH),Lifetime Suspension - Loss of Results,Original: 11/10/2004; Updated: 06/17/2008
"Gatlin, Justin",Track and Field,Testosterone,4-Year Suspension - Loss of Results,06/06/2008
"Pettigrew, Antonio",Track and Field,Non-Analytical: Use,2-Year Suspension - Loss of Results,06/03/2008
*Name Removed,Table Tennis,Cannabinoids,2-Year Suspension - Loss of Results; Second Violation,
*Name Removed,Weightlifting,Cannabinoids,2-Year Suspension - Loss of Results,
"Alfred, Stephen",Cycling,Non-Analytical: Refusal to Submit to Sample Collection,Lifetime Suspension; Third Violation,02/05/2008
*Name Removed,Wrestling,Cannabinoids,2-Year Suspension - Loss of Results; Second Violation,
*Name Removed,Cycling,Clomiphene,2-Year Suspension - Loss of Results,
*Name Removed,Racquetball,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Non-Analytical: Use,2-Year Suspension - Loss of Results,
*Name Removed,Wrestling,6a-hydroxyandrostendione,2-Year Suspension,
*Name Removed,Cycling,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,
*Name Removed,Paralympic Track and Field,Benzoylecgonine,2-Year Suspension - Loss of Results,
"Bell, Kenwood (Kenta)",Track and Field,Methylprednisolone,3-Month Suspension with 3-Month Deferral - Loss of Results,07/30/2007
"Papp, Joseph",Cycling,Non-Analytical Positive,2-Year Suspension - Loss of Results,05/25/2007
*Name Removed,Weightlifting,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,
"Korchemny, Remi",Track and Field - Athlete Support Personnel,Non-Analytical,Lifetime Suspension,03/12/2007
"Alfred, Stephen",Cycling,Androgenic Anabolic Steroid & Human Chorionic Gonadotrophin (HCG),8-Year Suspension - Loss of Results,02/02/2007
*Name Removed,Weightlifting,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
"Boothby, Scott",Track and Field,Finasteride & 6-oxo-androstenedione and its metabolite 6a-hydroxyandrostenehione,8-Year Suspension with 4-Year Reduction - Loss of Results,11/17/2006
*Name Removed,Wrestling,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
"Hamilton, Tyler","Cycling, Triathlon",Blood Transfusion,2-Year Suspension - Loss of Results,02/11/2006
"Zajicek, Philip",Cycling,Cathine (Norpseudoephedrine),Public Warning - Loss of Results,10/13/2004
*Name Removed,Weightlifting,Elevated T/E,6-Year Suspension - Loss of Results,
"Cox, Crystal",Track and Field,Ephedrine,Public Warning - Loss of Results,10/17/2002
"Dickey, Duane",Cycling,"Phentermine, Boldenone and Nandrolone",1-Year Suspension - Loss of Results,08/30/2002
"Gatlin, Justin",Track and Field,Amphetamine,2-Year Suspension - Loss of Results -  Granted Early Reinstatement,05/14/2002
"O'Bee, Kirk",Cycling,Elevated T/E,1-Year Suspension - Loss of Results,07/18/2002
*Name Removed,Table Tennis,19-norandrosterone (19-NA) and 19-noretiocholanolone,2-Year Suspension - Loss of Results,
"Dees, Tony",Track and Field,19-norandrosterone (19-NA)and 19-noretiocholanolone,Lifetime Suspension - Loss of Results; Second Violation,09/17/2001
*Name Removed,Gymnastics,Triamcinolone Acetonide,Public Warning - Loss of Results,
*Name Removed,Cycling,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
*Name Removed,Paralympic Track and Field,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
*Name Removed,Paralympic Track and Field,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
*Name Removed,Basketball,Salmeterol,Public Warning - Loss of Results,
*Name Removed,Gymnastics,Triamcinolone Acetonide,Public Warning - Loss of Results,
*Name Removed,Track and Field,Salbutamol,Public Warning - Loss of Results,
*Name Removed,Roller Sports,Cannabinoids,6-Month Suspension - Loss of Results,
*Name Removed,Paralympic Alpine Skiing,Chlorothiazide & Hydrocholorthiazide,1-Year Suspension - Loss of Results,
*Name Removed,Weightlifting,Cannabinoids,3-Month Suspension - Loss of Results,
*Name Removed,Track and Field,Hydrochlorothiazide,1-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Benzoylecgonine,1-Year Suspension - Loss of Results,
*Name Removed,Wrestling,Triamcinolone Acetonide,Public Warning - Loss of Results,
*Name Removed,Track and Field,Non-Analytical: Refusal to Submit to Sample Collection,1-Year Suspension - Loss of Results,
*Name Removed,Weightlifting,Methylphenidate metabolite Ritalinic Acid,1-Year Suspension - Loss of Results,
*Name Removed,Paralympic Alpine Skiing,Non-Analytical: Missed Tests,2-Year Suspension - Loss of Results,
*Name Removed,Cycling,Non-Analytical: Missed Tests,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Hydrochlorothiazide & Triamterene,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Cannabinoids,2-Year Suspension - Loss of Results; Second Violation,
*Name Removed,Paralympic Basketball,Formestane (4-hydroxyandrostendione),2-Year Suspension - Loss of Results,
*Name Removed,Ice Hockey,19-norandrosterone (19-NA) and 19-noretiocholanolone,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,"Non-Analytical: Use (EPO, Testosterone/epitestosterone cream & THG)",8-Year Suspension - Loss of Results,
*Name Removed,Track and Field,"Non-Analytical: Use (Anabolic Steroids, Insulin, EPO, hGH and Modafinil)",4-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Tetrahydrogestrinone (THG),4-Year Suspension - Loss of Results,
*Name Removed,Team Handball,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,
*Name Removed,Swimming,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension,
*Name Removed,Paralympic Powerlifting,Boldenone,2-Year Suspension - Loss of Results,
*Name Removed,Skiing and Snowboarding,Cannabinoids,1-Year Suspension - Loss of Results,
*Name Removed,Rowing,Non-Analytical: Missed Tests,2-Year Suspension,
*Name Removed,Cycling,Erythropoietin (EPO),2-Year Suspension,
*Name Removed,Cycling,19-norandrosterone (19-NA) and 19-noretiocholanolone,8-Month Suspension - Loss of Results,
*Name Removed,Paralympic Track and Field,Pseuedoephedrine,Public Warning - Loss of Results,
*Name Removed,Track and Field,Ephedrine,9-Month Suspension with 3 Months Deferral - Loss of Results,
*Name Removed,Track and Field,Salbutamol,Public Warning - Loss of Results,
*Name Removed,Track and Field,Pseudoephdrine,Public Warning - Loss of Results,
*Name Removed,Diving,Ephedrine,2 Month Suspension - Loss of Results,
*Name Removed,Karate,Pseudoephedrine,1-Month Suspension - Loss of Results,
*Name Removed,Swimming,Boldione,2-Year Suspension - Loss of Results,
*Name Removed,Fencing,Pseudoephdrine,3-Month Suspension - Loss of Results,
*Name Removed,Track and Field,Cannabinoids,Public Warning - Loss of Results,
*Name Removed,Track and Field,Amphetamine,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Salbutamol,Public Warning - Loss of Results,
*Name Removed,Boxing,Furosemide,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,19-norandrosterone (19-NA),2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Pseudoephedrine,Public Warning - Loss of Results,
*Name Removed,Track and Field,Methandienone (Dianabol),2-Year Suspension - Loss of Results,
*Name Removed,Judo,Non-Analytical: Missed Tests,2-Year Suspension,
*Name Removed,Bobsled and Skeleton,Stanozolol,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Ephedrine,Public Warning - Loss of Results,
*Name Removed,Judo,Metabolites of Androstenedione,2-Year Suspension - Loss of Results,
*Name Removed,Cycling,Erythropoietin (EPO),2-Year Suspension - Loss of Results,
*Name Removed,Cycling,Non-Analytical: Use (Testosterone & EPO),2-Year Suspension with 7-Month Reduction - Loss of Results,
*Name Removed,Track and Field,19-norandrosterone (19-NA)and 19-noretiocholanolone,2-Year Suspension - Loss of Results,
*Name Removed,Cycling,Cannabinoids,Public Warning - Loss of Results,
*Name Removed,Swimming,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension,
*Name Removed,Cycling,Phentermine,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Cannabinoids,Public Warning - Loss of Results,
*Name Removed,Track and Field,Nikethamide,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,19-norandrosterone and Elevated T/E,2-Year Suspension - Loss of Results,
*Name Removed,Paralympic Sled Hockey,Hydrochlorothiazide,1-Year Suspension - Loss of Results,
*Name Removed,Karate,Ephedrine,1-Month Suspension - Loss of Results,
*Name Removed,Cycling,Elevated T/E,2-Year Suspension - Loss of Results,
*Name Removed,Weightlifting,Cannabinoids,9-Month Suspension with 3-Month Deferral - Loss of Results; Second Violation,
*Name Removed,Weightlifting,Pseudoephedrine,3-Month Suspension - Loss of Results,
*Name Removed,Cycling,Oxymetholone,2-Year Suspension - Loss of Results,
*Name Removed,Roller Sports,"Androgenic Anabolic Steroid, 19-Norandrosterone (19-NA), and Human Chorionic Gonadotrophin (hCG)",2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Non-Analytical,2-Year Suspension - Loss of Results; Second Violation,
*Name Removed,Track and Field,Modafinil,Public Warning - Loss of Results,
*Name Removed,Weightlifting,Elevated T/E,2-Year Suspension - Loss of Results,
*Name Removed,Swimming,Cannabinoids,3-Month Suspension - Loss of Results,
*Name Removed,Track and Field,Modafinil,Public Warning - Loss of Results,
*Name Removed,Weightlifting,Elevated T/E,2-Year Suspension - Loss of Results,
*Name Removed,Cycling,Ephedrine,Public Warning - Loss of Results,
*Name Removed,Track and Field,19-Norandrosterone (19-NA),2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Ephedrine,Public Warning - Loss of Results,
*Name Removed,Cycling,Clenbuterol,3-Month Suspension - Loss of Results,
*Name Removed,Archery,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Pseudoephdrine,Public Warning - Loss of Results,
*Name Removed,Cycling,Ephedrine,1-Month Suspension - Loss of Results,
*Name Removed,Track and Field,Amphetamine,1-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Modafinil,2-Year Suspension - Loss of Results,
*Name Removed,Judo,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,
*Name Removed,Weightlifting,Stanozolol Metabolites,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Erythropoietin (EPO),2-Year Suspension - Sanction Modified to Include Loss of Results,
*Name Removed,Track and Field,Methandienone (Dianabol),2-Year Suspension - Loss of Results,
*Name Removed,Paralympic Basketball,19-norandrosterone (19-NA) and 19-noretiocholanolone,2-Year Suspension - Loss of Results,
*Name Removed,Synchronized Swimming,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension,
*Name Removed,Cycling,Cannabinoids,1-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Ephedrine,Public Warning - Loss of Results,
*Name Removed,Figure Skating,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,
*Name Removed,Fencing,Amphetamine,1-Year Suspension - Loss of Results,
*Name Removed,Cycling,Erythropoietin (EPO),2-Year Suspension - Loss of Results; Second Violation,
*Name Removed,Cycling,Non-Analytical: Failure to Appear to Sample Collection,Public Warning,
*Name Removed,Track and Field,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
*Name Removed,Track and Field,Elevated T/E,2-Year Suspension - Loss of Results,
*Name Removed,Bobsled and Skeleton,19-norandrosterone (19-NA) and 19-noretiocholanolone,2-Year Suspension - Loss of Results,
*Name Removed,Bobsled and Skeleton,Methandienone,2-Year Suspension - Loss of Results,
*Name Removed,Cycling,Cannabinoids,1-Year Suspension - Loss of Results,
*Name Removed,Wrestling,Metoprolol,3-Month Suspension with 3-Month Deferral - Loss of Results,
*Name Removed,Bobsled and Skeleton and Track and Field,Non-Analytical: Manipulation of Forms & Stanozolol,2-Year Suspension - Loss of Results,
*Name Removed,Paralympic Archery,Metoprolol,Public Warning - Loss of Results,
*Name Removed,Boxing,Ephedrine,Public Warning - Loss of Results,
*Name Removed,Swimming,Pseuedoephedrine,Public Warning - Loss of Results,
*Name Removed,Taekwondo,L-Methamphetamine,3-Month Suspension with 3-Month Deferral - Loss of Results,
*Name Removed,Bobsled and Skeleton,Finasteride,1-Year Suspension - Loss of Results,
*Name Removed,Softball,19-norandrosterone and 19-noretiocholanolone,2-Year Suspension - Loss of Results,
*Name Removed,Curling,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,
*Name Removed,Weightlifting,Ephedrine,6-Month Suspension - Loss of Results,
*Name Removed,Track and Field,Tetrahydrogestrinone (THG) and Modafinil,2-Year Suspension - Loss of Results,
*Name Removed,Softball,Androstenedione,2-Year Suspension - Loss of Results,
*Name Removed,Cycling,Non-Analytical: Failure to Appear to Sample Collection,3-Month Suspension,
*Name Removed,Skiing and Snowboarding,Pseudoephdrine,3-Month Suspension - Loss of Results,
*Name Removed,Bobsled and Skeleton,Elevated T/E,2-Year Suspension - Loss of Results,
*Name Removed,Cycling,19-norandrosterone,1-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Non-Analytical,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Tetrahydrogestrinone (THG),2-Year Suspension - Loss of Results,
*Name Removed,Cycling,19-norandrosterone (19-NA),6-Month Suspension - Loss of Results,
*Name Removed,Skiing and Snowboarding,Methylphenidate,2-Year Suspension - Loss of Results,
*Name Removed,Bobsled and Skeleton,Elevated T/E,2-Year Suspension - Loss of Results,
*Name Removed,Boxing,19-norandrosterone (19-NA) and 19-noretiocholanolone,18-Month Suspension - Loss of Results,
*Name Removed,Wrestling,"Testosterone, Methandienone (Dianabol) and Stanzolol",2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Modafinil,Public Warning - Loss of Results,
*Name Removed,Swimming,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension - Loss of Results,
*Name Removed,Sailing,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension,
*Name Removed,Cycling,19-norandrosterone and 19-noretiocholanolone,2-Year Suspension - Loss of Results,
*Name Removed,Skiing and Snowboarding,Cannabinoids,10-Month Suspension with 7-Month Reduction - Loss of Results,
*Name Removed,Weightlifting,Hydrochlorothiazide,2-Year Suspension - Loss of Results,
*Name Removed,Cycling,Phentermine,2-Year Suspension - Loss of Results,
*Name Removed,Paralympic Track and Field,Ephedrine,2 Month Suspension -  Loss of Results,
*Name Removed,Swimming,Pseuedoephedrine,Public Warning - Loss of Results,
*Name Removed,Track and Field,Cannabinoids,Public Warning - Loss of Results,
*Name Removed,Cycling,Non-Analytical: Failure to Appear to Sample Collection,1-Year Suspension - Loss of Results,
*Name Removed,Wrestling,Phentermine,2-Year Suspension - Loss of Results,
*Name Removed,Paralympic Sled Hockey,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,
*Name Removed,Weightlifting,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,
*Name Removed,Cycling,Erythropoietin (EPO),2-Year Suspension - Loss of Results,
*Name Removed,Cycling,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results,
*Name Removed,Track and Field,Ephedrine,Public Warning - Loss of Results,
